 Count  Overhead File                    Line Function
    82         0 …ractinterpretation.jl  2752 abstract_eval_statement(interp::C…
    82         0 …ractinterpretation.jl  2454 abstract_eval_statement_expr(inte…
    82         0 …ractinterpretation.jl  2438 abstract_eval_call(interp::Core.C…
    82         0 …ractinterpretation.jl  2423 abstract_call(interp::Core.Compil…
    82         0 …ractinterpretation.jl  2275 abstract_call(interp::Core.Compil…
    94        92 …s_and_Eks_threaded.jl    65 macro expansion
   101         0 …compiler/typeinfer.jl  1135 typeinf_ext_toplevel(mi::Core.Met…
   101         0 …compiler/typeinfer.jl  1139 typeinf_ext_toplevel(interp::Core…
   101         0 …compiler/typeinfer.jl  1101 typeinf_ext(interp::Core.Compiler…
   101         0 …compiler/typeinfer.jl   215 typeinf(interp::Core.Compiler.Nat…
   117        98 …PEPS/src/Ok_and_Ek.jl    21 Ok_and_Ek(peps::PEPS, ham_op::Qua…
   299       269 …aturalfPEPS/src/Ok.jl    59 get_Ok(peps::PEPS, env_top::Vecto…
   329       247 …EPS/src/tensor_ops.jl    19 permute_reshape_and_copy!(dest::S…
   347        12 …aturalfPEPS/src/Ok.jl    56 get_Ok(peps::PEPS, env_top::Vecto…
   696        38 …aturalfPEPS/src/Ok.jl    31 kwcall(::@NamedTuple{h_envs_r::Ma…
   753        54 …PEPS/src/Ok_and_Ek.jl    22 Ok_and_Ek(peps::PEPS, ham_op::Qua…
   883         0 …PEPS/src/Ok_and_Ek.jl     3 kwcall(::@NamedTuple{Ok::SubArray…
  1054       166 …s_and_Eks_threaded.jl    66 macro expansion
  1148         0 …hreadingconstructs.jl   154 (::Base.Threads.var"#1#2"{Quantum…
  1148         0 …hreadingconstructs.jl   220 #46549#threadsfor_fun
  1148         0 …hreadingconstructs.jl   253 (::QuantumNaturalfPEPS.var"#46549…
Total snapshots: 3315. Utilization: 76% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
